# source lat long PCM_LABELS
['1901465_015.BRECKOWENS'] 34.536 -70.415 0
['1901465_016.BRECKOWENS'] 33.898 -70.886 0
['1901465_017.BRECKOWENS'] 34.637 -70.228 0
['1901465_018.BRECKOWENS'] 34.539 -71.882 0
['1901465_019.BRECKOWENS'] 33.879 -71.943 1
['1901465_020.BRECKOWENS'] 33.992 -71.718 2
['1901465_021.BRECKOWENS'] 33.887 -71.526 2
['1901465_022.BRECKOWENS'] 33.869 -71.927 0
['1901465_023.BRECKOWENS'] 33.832 -72.138 0
['1901465_024.BRECKOWENS'] 33.937 -73.008 2
['1901465_025.BRECKOWENS'] 34.904 -73.734 2
['1901465_026.BRECKOWENS'] 36.329 -73.727 1
['1901465_027.BRECKOWENS'] 36.761 -74.012 1
['1901465_028.BRECKOWENS'] 36.396 -73.288 1
['1901465_029.BRECKOWENS'] 37.315 -70.502 0
['1901465_033.BRECKOWENS'] 35.623 -70.135 2
['1901465_035.BRECKOWENS'] 35.607 -70.861 0
['1901465_036.BRECKOWENS'] 35.839 -71.116 0
['1901465_037.BRECKOWENS'] 35.170 -70.844 2
['1901465_038.BRECKOWENS'] 34.732 -70.367 0
['1901465_039.BRECKOWENS'] 34.862 -70.185 0
['1901465_040.BRECKOWENS'] 34.643 -70.201 0
['1901465_041.BRECKOWENS'] 34.628 -70.349 0
['1901465_042.BRECKOWENS'] 34.528 -70.666 0
['1901465_043.BRECKOWENS'] 34.657 -70.938 0
['1901465_044.BRECKOWENS'] 34.958 -71.014 0
['1901465_045.BRECKOWENS'] 35.006 -71.411 0
['1901465_046.BRECKOWENS'] 35.051 -72.190 0
['1901465_047.BRECKOWENS'] 34.960 -72.944 0
['1901465_048.BRECKOWENS'] 34.774 -73.641 0
['1901465_049.BRECKOWENS'] 35.105 -73.788 0
['1901465_050.BRECKOWENS'] 36.271 -72.788 0
['1901465_051.BRECKOWENS'] 37.895 -71.142 1
['1901465_052.BRECKOWENS'] 38.083 -70.504 1
['1901534_054.BreckOwens'] 31.839 -70.641 2
['1901534_055.BreckOwens'] 31.477 -71.688 2
['1901534_056.BreckOwens'] 31.363 -71.896 2
['1901534_057.BreckOwens'] 31.784 -72.118 2
['1901534_058.BreckOwens'] 32.201 -72.812 2
