# source lat long PCM_LABELS
"11115926" -18.000 1.170 5
"11124818" -18.760 8.952 5
"11125259" -18.653 6.762 5
"11129580" -18.998 4.000 5
"11130304" -19.000 8.503 5
"11132437" -17.805 1.822 5
"11132435" -18.190 0.850 5
"11202961" -18.698 1.002 5
"2670634" -18.998 0.200 5
"2670645" -18.995 0.728 5
"2670662" -19.000 1.250 5
"2670676" -19.000 1.770 5
"2670691" -19.000 2.300 5
"2670712" -19.000 2.827 5
"2670737" -19.000 3.347 5
"2670750" -18.995 3.877 5
"2670762" -18.995 4.400 5
"2670779" -18.997 4.918 5
"2670785" -19.000 5.450 5
"2670793" -19.000 5.973 5
"2670802" -18.992 6.505 5
"2670895" -18.995 7.023 5
"2670916" -18.995 7.552 5
"2670949" -18.780 8.555 5
"2732882" -19.000 5.000 5
"2732894" -18.502 4.997 5
"2670962" -18.537 9.032 5
"11116053" -19.013 1.220 5
"11116072" -19.987 1.258 5
"2670931" -19.010 8.082 5
"2732874" -19.498 5.000 5
"11124819" -19.633 9.058 5
"24542991" -18.867 9.667 5
"24555477" -19.701 7.999 5
"24555485" -19.932 9.299 5
"33RO20100308_00069_00001" -20.000 1.260 5
"33RO20100308_00070_00001" -19.500 1.242 5
"33RO20100308_00071_00001" -19.000 1.225 5
"33RO20100308_00072_00001" -18.500 1.200 5
"33RO20100308_00072_00003" -18.500 1.200 5
"33RO20100308_00073_00001" -18.000 1.175 5
"33RO20100308_00074_00001" -17.500 1.142 5
"316N19831007_a13_1983_0056_ct1" -18.000 1.170 5
"316N19831007_a13_1983_0055_ct1" -19.013 1.220 5
"316N19831007_a13_1983_0054_ct1" -19.987 1.258 5
"33RO20100308_a13_2010_0069_ct1" -20.000 1.260 5
"33RO20100308_a13_2010_0070_ct1" -19.500 1.242 5
"33RO20100308_a13_2010_0071_ct1" -19.000 1.225 5
"33RO20100308_a13_2010_0072_ct1" -18.500 1.200 5
"33RO20100308_a13_2010_0073_ct1" -18.000 1.175 5
"33RO20100308_a13_2010_0074_ct1" -17.500 1.142 5
"10993815" -23.997 8.505 5
"10993832" -20.000 2.000 5
"11082252" -23.885 0.772 5
"11082253" -23.816 0.072 5
"11082254" -23.771 0.854 5
"11082256" -23.643 2.553 5
"11082258" -23.536 4.172 5
"11082264" -23.500 4.988 5
"11082272" -23.390 6.617 5
"11116089" -21.023 1.320 5
"11116106" -21.977 1.393 5
"11116119" -22.992 1.438 5
"11116249" -23.990 1.502 5
"11116262" -25.000 1.558 5
"11116283" -25.992 1.627 5
"11116330" -27.988 1.727 5
"11116356" -28.998 1.785 3
"11124824" -21.262 7.508 5
"11126341" -22.993 2.988 5
"11126499" -20.392 2.445 5
"11129579" -20.000 4.002 5
"11129581" -21.003 4.007 5
"11129604" -22.002 4.005 5
"11129605" -22.992 4.017 5
"11129753" -26.002 4.000 5
"11129637" -25.000 3.997 5
"11129638" -24.005 3.998 5
"11129779" -26.002 7.338 5
"11129780" -25.993 5.113 5
"11129781" -26.002 6.237 5
"11129799" -28.007 8.503 5
"11129820" -26.005 8.503 5
"11129821" -24.002 8.500 5
"11129822" -25.010 8.505 5
"11130293" -22.005 8.507 5
"11130294" -23.003 8.503 5
"11130305" -20.007 8.508 5
"11130306" -21.020 8.510 5
"11135620" -28.943 5.992 5
"11182857" -28.969 6.038 5
"11182879" -28.892 6.403 5
"11182905" -28.833 6.699 4
"11182937" -28.700 7.133 4
"11182971" -28.603 7.500 4
"11182993" -28.512 7.859 4
"11183015" -28.418 8.221 4
"11183046" -28.325 8.587 4
"11183074" -28.233 8.952 4
"11202785" -24.918 1.017 5
"11202887" -23.432 0.978 5
"11202905" -21.843 0.995 5
"11202933" -20.278 0.998 5
"2670840" -23.397 6.010 5
"2670846" -22.948 6.517 5
"2670855" -22.502 7.028 5
"2670857" -22.050 7.550 5
"2670862" -21.643 7.548 5
"2670865" -21.400 7.552 5
"2670869" -21.152 7.552 5
"2670874" -20.788 7.552 5
"2732614" -25.385 8.915 5
"2732618" -25.165 8.753 5
"2732625" -24.802 8.481 5
"2732706" -24.415 8.198 5
"2732712" -24.038 7.918 5
"2732718" -23.690 7.667 5
"2732726" -23.417 7.465 5
"2732734" -23.208 7.317 5
"2732739" -22.998 7.161 5
"2732742" -22.793 7.020 5
"2732748" -22.510 6.813 5
"2732753" -22.232 6.612 5
"2732758" -21.948 6.412 5
"2732761" -21.682 6.200 5
"2732765" -21.467 6.057 5
"2732770" -21.267 5.908 5
"2732854" -20.982 5.706 5
"2732864" -20.667 5.482 5
"2732868" -20.355 5.256 5
"2732870" -20.000 5.000 5
"11259448" -27.714 8.669 5
"11259463" -27.027 7.597 4
"11259472" -26.414 6.645 5
"11259482" -25.816 5.729 5
"11259495" -25.062 4.830 5
"11259511" -24.279 3.903 5
"11259534" -23.571 3.068 5
"11259538" -23.320 2.774 5
"11259548" -22.216 1.485 5
"11259556" -21.469 0.619 5
"11082283" -23.250 9.070 4
"11082290" -23.180 9.881 5
"11183084" -28.135 9.319 4
"11183090" -28.049 9.677 4
"2732557" -28.845 9.752 5
"2732562" -28.390 9.632 5
"2732570" -27.933 9.532 5
"2732574" -27.467 9.432 5
"2732582" -27.000 9.335 5
"2732588" -26.532 9.224 4
"2732591" -26.085 9.126 5
"2732605" -25.613 9.023 5
"11259437" -28.387 9.726 5
"11182485" -29.906 2.370 3
"11182489" -29.809 2.735 5
"11182502" -29.721 3.104 5
"11182514" -29.631 3.466 3
"11182529" -29.543 3.800 5
"11182549" -29.444 4.208 5
"11182586" -29.348 4.575 5
"11182609" -29.260 4.940 5
"11182633" -29.166 5.305 5
"11182803" -29.078 5.662 4
"11220736" -29.988 2.010 3
"11220764" -29.978 4.442 3
"2732544" -29.765 9.951 5
"2732550" -29.298 9.841 5
"24544592" -24.000 6.983 5
"24544599" -24.000 6.467 5
"24544604" -24.000 5.917 5
"24544610" -24.000 5.367 5
"24544616" -24.000 4.817 5
"24544651" -26.317 5.333 5
"24544654" -26.333 5.900 5
"24544658" -26.317 6.450 5
"24544661" -26.317 6.983 5
"24544668" -26.167 6.167 5
"24544671" -26.167 6.000 5
"24544672" -26.167 5.750 5
"24544675" -26.000 5.750 5
"24544677" -26.000 6.150 5
"24544679" -26.133 6.250 5
"24544690" -26.083 6.417 5
"24544693" -26.233 6.167 4
"24544694" -26.250 5.650 5
"24544696" -25.983 5.500 5
"24544701" -25.833 5.833 5
"24544705" -25.650 6.233 5
"24544729" -24.400 6.417 5
"24544732" -24.933 6.433 5
"24555481" -20.380 7.981 5
"24555482" -20.234 8.451 5
"24555483" -20.100 8.866 5
"27070193" -29.998 0.003 3
"27070194" -29.865 0.567 3
"27070195" -29.732 1.133 3
"27070196" -29.602 1.701 3
"27070197" -29.472 2.247 3
"27070198" -29.341 2.828 3
"27070199" -29.471 3.302 3
"27070200" -29.607 3.776 3
"27070201" -29.748 4.239 3
"27070202" -29.749 5.102 3
"27070203" -29.746 5.931 3
"27070204" -29.748 6.779 3
"27070205" -29.749 7.620 3
"27070206" -29.745 8.466 5
"27070207" -29.746 9.288 5
"33RO20100308_00049_00001" -30.000 1.833 5
"33RO20100308_00050_00001" -29.500 1.808 3
"33RO20100308_00051_00001" -29.000 1.783 3
"33RO20100308_00052_00001" -28.500 1.751 3
"33RO20100308_00053_00001" -28.000 1.719 5
"33RO20100308_00054_00001" -27.500 1.689 5
"33RO20100308_00055_00001" -27.000 1.660 5
"33RO20100308_00056_00001" -26.500 1.647 5
"33RO20100308_00057_00001" -26.000 1.633 5
"33RO20100308_00058_00001" -25.500 1.593 5
"33RO20100308_00059_00001" -25.000 1.550 5
"33RO20100308_00060_00001" -24.500 1.526 5
"33RO20100308_00061_00001" -24.000 1.501 5
"33RO20100308_00062_00001" -23.500 1.472 5
"33RO20100308_00063_00001" -23.000 1.443 5
"33RO20100308_00064_00001" -22.500 1.413 5
"33RO20100308_00065_00001" -22.001 1.386 5
"33RO20100308_00066_00001" -21.500 1.354 5
"33RO20100308_00067_00001" -21.000 1.323 5
"33RO20100308_00068_00001" -20.500 1.291 5
"43608459" -29.998 1.008 3
"43610031" -29.985 8.814 3
"43610000" -29.883 4.533 3
"43610001" -29.787 2.878 3
"43619099" -29.998 6.833 4
"43619100" -29.943 5.925 4
"43619102" -29.889 4.535 5
"43619103" -29.833 3.735 5
"43619104" -29.788 2.875 5
"43619105" -29.834 2.001 5
"43619106" -29.833 1.002 3
"43619107" -29.837 0.002 5
"43613551" -29.987 4.531 4
"43613554" -29.786 2.872 4
"50784533" -29.990 0.008 3
"50784539" -29.861 0.575 3
"50784543" -29.726 1.132 3
"50784550" -29.602 1.703 3
"50784555" -29.472 2.266 3
"50784561" -29.330 2.837 3
"50784562" -29.468 3.307 3
"50784563" -29.608 3.782 3
"50784567" -29.747 4.244 3
"50784571" -29.751 5.108 3
"50784574" -29.740 5.950 3
"50784575" -29.743 6.783 3
"50784582" -29.738 7.629 5
"50784591" -29.747 8.471 5
"50784599" -29.735 9.295 5
"50784606" -29.753 9.962 3
"50826520" -24.000 3.800 5
"50826530" -23.999 3.998 5
"50826583" -24.000 6.046 5
"50826608" -24.000 7.038 5
"50826618" -24.000 7.238 5
"50826654" -23.999 9.714 5
"40004588" -29.750 5.576 3
"40004619" -29.354 2.839 3
"40004626" -29.384 2.700 3
"40004630" -29.400 2.616 3
