# source lat long PCM_LABELS
"1901465_029.BRECKOWENS" 37.315 289.498 0.0
"1901465_033.BRECKOWENS" 35.623 289.865 0.0
"1901465_051.BRECKOWENS" 37.895 288.858 1.0
"1901465_052.BRECKOWENS" 38.083 289.496 1.0
"3900580_015.BRECKOWENS" 37.088 289.004 2.0
"3900580_040.BRECKOWENS" 37.546 289.692 1.0
"3900582_119.BRECKOWENS" 36.845 289.246 0.0
"4900321_077.STEPHENRISER" 38.727 289.283 1.0
"4900321_081.STEPHENRISER" 38.232 288.809 1.0
"4900321_083.STEPHENRISER" 37.746 288.974 1.0
"4900321_091.STEPHENRISER" 36.140 289.494 0.0
"4900321_092.STEPHENRISER" 36.368 289.817 0.0
"4900321_096.STEPHENRISER" 35.974 289.900 2.0
"4900321_097.STEPHENRISER" 36.101 289.624 2.0
"4900321_098.STEPHENRISER" 36.515 289.785 2.0
"4900356_069.StephenRiser" 37.360 288.606 1.0
"4900442_247.BRECKOWENS" 37.408 288.846 1.0
"4900442_248.BRECKOWENS" 38.663 289.433 1.0
"4900442_249.BRECKOWENS" 39.162 289.320 1.0
"4900442_250.BRECKOWENS" 39.153 288.696 1.0
"4900442_251.BRECKOWENS" 39.246 288.287 1.0
"4900442_255.BRECKOWENS" 37.666 289.787 1.0
"4900442_256.BRECKOWENS" 38.166 289.745 1.0
"4900442_257.BRECKOWENS" 37.933 288.897 1.0
"4900442_258.BRECKOWENS" 37.608 288.306 1.0
"4900784_018.BRECKOWENS" 36.969 289.957 0.0
"4900784_021.BRECKOWENS" 36.510 289.406 2.0
"4900784_024.BRECKOWENS" 35.958 289.916 2.0
"4900784_030.BRECKOWENS" 36.990 289.380 2.0
"4900784_042.BRECKOWENS" 38.968 289.628 3.0
"4900784_043.BRECKOWENS" 38.808 289.054 1.0
"4900784_044.BRECKOWENS" 38.312 288.266 3.0
"4900784_045.BRECKOWENS" 37.632 288.641 1.0
"4900784_046.BRECKOWENS" 36.275 289.842 0.0
"4900784_047.BRECKOWENS" 36.194 289.562 2.0
"4900784_048.BRECKOWENS" 36.007 289.537 0.0
"4900784_049.BRECKOWENS" 36.208 289.782 0.0
"4900803_031.BRECKOWENS" 37.182 289.349 2.0
"4900804_029.BRECKOWENS" 38.486 289.575 1.0
"4900804_036.BRECKOWENS" 37.873 289.931 1.0
"4900804_038.BRECKOWENS" 38.441 289.894 3.0
"4900804_039.BRECKOWENS" 38.565 289.315 1.0
"4900804_040.BRECKOWENS" 38.354 289.093 1.0
