# source lat long PCM_LABELS
"1900165_145.BRECKOWENS" -19.960 8.207 1.0
"1900165_146.BRECKOWENS" -19.765 8.405 1.0
"1900165_147.BRECKOWENS" -19.755 8.415 1.0
"1900165_152.BRECKOWENS" -19.563 5.809 1.0
"1900165_153.BRECKOWENS" -19.077 5.834 1.0
"1900165_154.BRECKOWENS" -19.041 5.925 1.0
"1900165_155.BRECKOWENS" -19.499 6.116 1.0
"1900165_159.BRECKOWENS" -19.752 7.410 1.0
"1900165_160.BRECKOWENS" -19.180 6.918 1.0
"1900165_161.BRECKOWENS" -18.680 6.537 1.0
"1900165_162.BRECKOWENS" -18.258 6.120 1.0
"1900165_166.BRECKOWENS" -18.162 5.063 1.0
"1900165_167.BRECKOWENS" -18.333 4.944 1.0
"1900165_168.BRECKOWENS" -18.471 4.986 1.0
"1900165_169.BRECKOWENS" -18.413 5.166 1.0
"1900165_170.BRECKOWENS" -18.250 5.492 1.0
"1900165_178.BRECKOWENS" -18.421 5.149 1.0
"1900165_179.BRECKOWENS" -18.648 5.081 1.0
"1900165_180.BRECKOWENS" -18.869 5.229 1.0
"1900165_181.BRECKOWENS" -18.928 5.512 1.0
"1900165_182.BRECKOWENS" -18.922 5.743 1.0
"1900165_183.BRECKOWENS" -18.629 5.958 1.0
"1900165_184.BRECKOWENS" -18.238 6.170 1.0
"1900740_072.BRECKOWENS" -19.799 7.936 1.0
"1900740_073.BRECKOWENS" -19.728 8.388 1.0
"1900740_074.BRECKOWENS" -19.570 8.751 1.0
"1900740_075.BRECKOWENS" -19.317 8.782 1.0
"1900740_076.BRECKOWENS" -19.079 8.666 1.0
"1900741_025.BRECKOWENS" -19.624 0.110 1.0
"1900741_026.BRECKOWENS" -19.958 0.112 1.0
"1900741_030.BRECKOWENS" -19.949 1.131 1.0
"1900741_031.BRECKOWENS" -19.784 1.447 1.0
"1900741_032.BRECKOWENS" -19.733 1.676 1.0
"1900741_033.BRECKOWENS" -19.664 1.889 1.0
"1900741_034.BRECKOWENS" -19.642 2.183 1.0
"1900741_035.BRECKOWENS" -19.582 2.582 1.0
"1900741_036.BRECKOWENS" -19.456 2.961 1.0
"1900741_037.BRECKOWENS" -19.296 2.994 1.0
"1900741_038.BRECKOWENS" -19.258 2.842 1.0
"1900741_039.BRECKOWENS" -19.240 2.619 1.0
"1900741_040.BRECKOWENS" -19.404 2.321 1.0
"1900741_041.BRECKOWENS" -19.731 2.207 1.0
"1900741_044.BRECKOWENS" -19.715 3.776 1.0
