# source lat long PCM_LABELS
1900577_007.BRECKOWENS -48.884 9.447 2
1900746_007.BRECKOWENS -43.542 9.116 0
1900746_008.BRECKOWENS -43.278 8.509 0
1900746_009.BRECKOWENS -43.289 8.505 0
1900746_010.BRECKOWENS -43.016 9.048 0
1900785_026.BRECKOWENS -42.131 5.695 0
1900785_027.BRECKOWENS -42.239 5.683 0
1900785_028.BRECKOWENS -42.441 5.957 0
1900785_029.BRECKOWENS -42.812 6.203 0
1900785_030.BRECKOWENS -43.020 6.637 0
1900785_031.BRECKOWENS -42.889 7.168 0
1900785_032.BRECKOWENS -42.694 7.130 0
1900785_033.BRECKOWENS -43.190 6.624 0
1900785_034.BRECKOWENS -43.865 7.138 0
1900785_035.BRECKOWENS -44.278 8.576 0
1900785_036.BRECKOWENS -44.633 9.279 0
1900785_037.BRECKOWENS -45.204 9.703 0
1900785_040.BRECKOWENS -43.042 9.542 0
1900785_041.BRECKOWENS -42.392 9.037 0
1900785_042.BRECKOWENS -42.201 8.154 0
1900785_043.BRECKOWENS -42.588 6.973 0
1900785_044.BRECKOWENS -42.602 6.359 0
1900785_045.BRECKOWENS -42.123 5.834 0
1900787_007.BRECKOWENS -46.510 7.989 2
1900787_008.BRECKOWENS -46.729 8.817 2
1900788_010.BRECKOWENS -42.631 7.031 0
1900788_011.BRECKOWENS -42.613 7.689 0
1900788_012.BRECKOWENS -42.255 8.267 0
1900788_013.BRECKOWENS -42.350 8.523 0
1900788_014.BRECKOWENS -42.949 8.818 0
1900788_015.BRECKOWENS -43.293 9.634 0
1900788_021.BRECKOWENS -42.000 8.838 0
1900962_030.DEANROEMMICH -49.906 4.081 2
1900962_031.DEANROEMMICH -49.397 5.468 2
1900962_032.DEANROEMMICH -48.964 6.254 2
1900962_033.DEANROEMMICH -48.960 7.368 2
1900962_034.DEANROEMMICH -49.005 7.738 2
1900962_035.DEANROEMMICH -49.048 7.678 2
1900962_036.DEANROEMMICH -48.927 7.663 2
1900962_037.DEANROEMMICH -49.166 9.027 2
1900962_038.DEANROEMMICH -49.954 9.717 2
1900963_013.DEANROEMMICH -45.142 0.813 0
1900963_014.DEANROEMMICH -45.539 3.760 0
1900963_015.DEANROEMMICH -45.241 5.157 0
1900963_016.DEANROEMMICH -45.019 5.038 0
1900963_017.DEANROEMMICH -44.727 4.967 0
1900963_018.DEANROEMMICH -44.206 5.096 0
1900963_019.DEANROEMMICH -43.560 5.440 0
1900963_020.DEANROEMMICH -42.962 6.171 0
1900963_021.DEANROEMMICH -42.709 6.812 0
1900963_022.DEANROEMMICH -42.665 6.591 0
1900963_023.DEANROEMMICH -42.567 6.270 0
1900963_024.DEANROEMMICH -42.402 6.060 0
1900963_025.DEANROEMMICH -42.248 5.799 0
1900963_026.DEANROEMMICH -42.010 5.470 0
1900964_021.DEANROEMMICH -48.294 0.196 2
1900964_022.DEANROEMMICH -47.385 0.339 2
1900964_026.DEANROEMMICH -45.450 0.736 2
1900964_027.DEANROEMMICH -46.055 1.934 2
1900964_028.DEANROEMMICH -46.578 1.824 0
1900964_029.DEANROEMMICH -46.731 1.476 0
1900964_030.DEANROEMMICH -47.059 1.416 2
1900964_031.DEANROEMMICH -47.695 1.807 2
1900964_032.DEANROEMMICH -48.191 2.400 2
1900964_033.DEANROEMMICH -48.684 2.952 2
1900964_034.DEANROEMMICH -48.480 3.989 2
1900964_035.DEANROEMMICH -48.470 5.362 2
1900964_036.DEANROEMMICH -48.270 6.202 2
1900964_037.DEANROEMMICH -47.958 7.331 2
1900964_038.DEANROEMMICH -47.798 8.500 2
1900964_039.DEANROEMMICH -48.235 9.168 2
1900965_022.DEANROEMMICH -48.007 0.291 2
1900965_035.DEANROEMMICH -45.644 0.672 2
1900965_036.DEANROEMMICH -45.785 2.682 2
1900965_037.DEANROEMMICH -46.310 3.427 2
1900965_038.DEANROEMMICH -46.698 4.228 0
1900965_039.DEANROEMMICH -46.749 4.888 2
1900965_040.DEANROEMMICH -46.318 5.171 2
1900965_041.DEANROEMMICH -45.621 5.677 2
1900965_042.DEANROEMMICH -45.336 7.130 2
1900965_043.DEANROEMMICH -45.502 8.783 2
1900965_044.DEANROEMMICH -46.296 9.010 2
1900967_015.DEANROEMMICH -49.753 0.349 2
1900967_016.DEANROEMMICH -49.614 1.673 2
1900967_017.DEANROEMMICH -49.611 2.685 2
1900967_018.DEANROEMMICH -49.101 3.207 2
1900967_019.DEANROEMMICH -48.844 3.972 2
1900967_020.DEANROEMMICH -48.713 4.872 2
1900967_021.DEANROEMMICH -49.055 6.455 2
1900967_022.DEANROEMMICH -49.092 6.976 2
1900967_023.DEANROEMMICH -49.180 7.429 2
1900967_024.DEANROEMMICH -49.063 7.980 2
1900967_025.DEANROEMMICH -49.062 9.330 2
1900968_008.DEANROEMMICH -48.275 0.233 0
1900968_009.DEANROEMMICH -47.805 0.012 2
1900968_019.DEANROEMMICH -46.488 0.877 2
1900968_020.DEANROEMMICH -46.596 2.182 2
1900968_021.DEANROEMMICH -47.595 3.136 2
1900968_022.DEANROEMMICH -47.940 3.939 2
1900968_023.DEANROEMMICH -47.927 5.067 2
1900968_024.DEANROEMMICH -47.961 5.764 2
1900968_025.DEANROEMMICH -48.008 6.587 2
1900968_026.DEANROEMMICH -48.044 7.412 2
1900968_027.DEANROEMMICH -47.997 8.446 2
1900968_028.DEANROEMMICH -47.989 9.266 2
1900969_007.DEANROEMMICH -45.420 5.711 0
1900969_008.DEANROEMMICH -43.693 5.062 0
1900969_009.DEANROEMMICH -43.715 6.568 0
1900969_010.DEANROEMMICH -44.189 7.691 0
1900969_011.DEANROEMMICH -43.999 8.909 0
