# source lat long PCM_LABELS
"11054854" 41.430 339.865 0.000000
"11081464" 42.840 339.958 0.000000
"11081473" 42.260 339.848 0.000000
"11217891" 42.658 339.990 0.000000
"11212588" 43.002 339.977 0.000000
"11225717" 42.170 339.700 0.000000
"11225726" 42.810 339.770 0.000000
"11225749" 43.440 339.850 0.000000
"11225784" 44.070 339.950 0.000000
"11236933" 44.000 339.990 0.000000
"11236964" 41.993 339.975 2.000000
"11236982" 41.168 339.977 0.000000
"2648209" 41.567 339.937 0.000000
"2648228" 42.168 339.710 0.000000
"2648253" 42.797 339.760 0.000000
"2648276" 43.442 339.845 0.000000
"2648301" 44.063 339.957 0.000000
"2648320" 44.712 339.997 0.000000
"2673604" 44.994 339.990 0.000000
"11347995" 41.493 339.980 0.000000
"27241276" 43.441 339.616 0.000000
"2909334" 43.442 339.620 0.000000
"2913923" 41.499 339.990 0.000000
"50654579" 43.017 339.988 0.000000
"50654639" 43.498 339.995 0.000000
"50654648" 43.998 339.998 0.000000
"25495355" 45.002 339.993 3.000000
"25495360" 44.009 339.984 0.000000
"25495366" 42.048 339.999 0.000000
"25495368" 41.001 339.991 3.000000
"3175MB93_a16-a23_1993_0062_ct1" 44.000 340.000 0.000000
"3175MB93_a16-a23_1993_0063_ct1" 44.920 339.995 0.000000
"32OC202_1_a16-a23_1988_0173_ct1" 43.495 339.958 0.000000
"32OC202_1_a16-a23_1988_0172_ct1" 43.002 339.977 0.000000
"32OC202_1_a16-a23_1988_0171_ct1" 42.512 339.988 0.000000
"32OC202_1_a16-a23_1988_0170_ct1" 42.013 339.992 0.000000
"32OC202_1_a16-a23_1988_0169_ct1" 41.498 339.978 0.000000
"33RO200306_01_a16-a23_2003_0231_ct1" 44.500 340.000 0.000000
"33RO200306_01_a16-a23_2003_0230_ct1" 43.999 340.000 0.000000
"33RO200306_01_a16-a23_2003_0228_ct1" 43.000 339.999 0.000000
"33RO200306_01_a16-a23_2003_0226_ct1" 42.000 339.999 0.000000
"33RO200306_01_a16-a23_2003_0225_ct1" 41.496 339.998 0.000000
"33RO200306_01_a16-a23_2003_0224_ct1" 41.000 340.000 0.000000
