# source lat long PCM_LABELS
1901534_081.BRECKOWENS 40.488 299.248 1
1901534_107.BRECKOWENS 40.359 299.374 1
4900321_059.STEPHENRISER 40.069 294.291 1
4900321_060.STEPHENRISER 40.115 294.061 1
4900321_061.STEPHENRISER 40.132 293.965 1
4900321_062.STEPHENRISER 40.203 293.726 1
4900321_063.STEPHENRISER 40.152 293.295 1
4900321_064.STEPHENRISER 40.074 292.758 1
4900321_065.STEPHENRISER 40.130 292.290 1
4900321_066.STEPHENRISER 40.202 292.373 1
4900356_081.StephenRiser 40.918 298.553 1
4900362_086.BRECKOWENS 40.475 296.522 1
4900362_087.BRECKOWENS 41.213 298.478 1
4900362_088.BRECKOWENS 41.170 297.460 1
4900362_089.BRECKOWENS 40.384 296.839 1
4900362_090.BRECKOWENS 40.823 295.364 1
4900362_094.BRECKOWENS 40.042 296.346 1
4900362_100.BRECKOWENS 40.251 297.784 1
4900362_108.BRECKOWENS 40.122 298.983 1
4900480_018.STEPHENRISER 41.213 299.604 1
4900480_021.STEPHENRISER 40.119 299.476 1
4900782_024.BRECKOWENS 41.043 298.844 1
4900782_031.BRECKOWENS 40.867 299.605 1
4900784_033.BRECKOWENS 40.373 295.338 1
4900803_048.BRECKOWENS 40.028 296.943 1
4900803_053.BRECKOWENS 40.346 298.348 1
4900803_054.BRECKOWENS 40.967 298.221 1
4900803_055.BRECKOWENS 41.325 298.660 1
4900803_056.BRECKOWENS 41.718 299.293 1
4900803_057.BRECKOWENS 42.114 298.853 1
4900803_065.BRECKOWENS 40.507 294.709 1
4900803_066.BRECKOWENS 40.556 295.324 1
4900803_067.BRECKOWENS 40.231 295.690 1
4900803_068.BRECKOWENS 40.053 296.157 1
4900803_112.BRECKOWENS 40.178 296.258 1
4900803_113.BRECKOWENS 40.597 295.269 1
4900803_114.BRECKOWENS 40.460 294.476 1
4900803_115.BRECKOWENS 40.132 294.028 1
4900803_155.BRECKOWENS 40.424 295.140 1
4900803_156.BRECKOWENS 40.415 295.761 1
4900803_157.BRECKOWENS 40.529 295.986 1
4900803_158.BRECKOWENS 40.826 295.966 1
4900803_159.BRECKOWENS 40.715 295.003 1
4900803_160.BRECKOWENS 40.344 294.407 1
4900803_161.BRECKOWENS 40.132 294.140 1
4900803_162.BRECKOWENS 40.105 293.635 1
4900804_009.BRECKOWENS 40.647 296.686 1
4900804_010.BRECKOWENS 41.422 296.809 1
4900804_011.BRECKOWENS 41.530 296.067 1
