WMO_box lon_min lon_max lat_min lat_max
1800 0 10 80 90
1700 0 10 70 80
1600 0 10 60 70
1500 0 10 50 60
1400 0 10 40 50
1300 0 10 30 40
1200 0 10 20 30
1100 0 10 10 20
1000 0 10 0 10
3000 0 10 -10 0
3100 0 10 -20 -10
3200 0 10 -30 -20
3300 0 10 -40 -30
3400 0 10 -50 -40
3500 0 10 -60 -50
3600 0 10 -70 -60
3700 0 10 -80 -70
3800 0 10 -90 -80
1801 10 20 80 90
1701 10 20 70 80
1601 10 20 60 70
1501 10 20 50 60
1401 10 20 40 50
1301 10 20 30 40
1201 10 20 20 30
1101 10 20 10 20
1001 10 20 0 10
3001 10 20 -10 0
3101 10 20 -20 -10
3201 10 20 -30 -20
3301 10 20 -40 -30
3401 10 20 -50 -40
3501 10 20 -60 -50
3601 10 20 -70 -60
3701 10 20 -80 -70
3801 10 20 -90 -80
1802 20 30 80 90
1702 20 30 70 80
1602 20 30 60 70
1502 20 30 50 60
1402 20 30 40 50
1302 20 30 30 40
1202 20 30 20 30
1102 20 30 10 20
1002 20 30 0 10
3002 20 30 -10 0
3102 20 30 -20 -10
3202 20 30 -30 -20
3302 20 30 -40 -30
3402 20 30 -50 -40
3502 20 30 -60 -50
3602 20 30 -70 -60
3702 20 30 -80 -70
3802 20 30 -90 -80
1803 30 40 80 90
1703 30 40 70 80
1603 30 40 60 70
1503 30 40 50 60
1403 30 40 40 50
1303 30 40 30 40
1203 30 40 20 30
1103 30 40 10 20
1003 30 40 0 10
3003 30 40 -10 0
3103 30 40 -20 -10
3203 30 40 -30 -20
3303 30 40 -40 -30
3403 30 40 -50 -40
3503 30 40 -60 -50
3603 30 40 -70 -60
3703 30 40 -80 -70
3803 30 40 -90 -80
1804 40 50 80 90
1704 40 50 70 80
1604 40 50 60 70
1504 40 50 50 60
1404 40 50 40 50
1304 40 50 30 40
1204 40 50 20 30
1104 40 50 10 20
1004 40 50 0 10
3004 40 50 -10 0
3104 40 50 -20 -10
3204 40 50 -30 -20
3304 40 50 -40 -30
3404 40 50 -50 -40
3504 40 50 -60 -50
3604 40 50 -70 -60
3704 40 50 -80 -70
3804 40 50 -90 -80
1805 50 60 80 90
1705 50 60 70 80
1605 50 60 60 70
1505 50 60 50 60
1405 50 60 40 50
1305 50 60 30 40
1205 50 60 20 30
1105 50 60 10 20
1005 50 60 0 10
3005 50 60 -10 0
3105 50 60 -20 -10
3205 50 60 -30 -20
3305 50 60 -40 -30
3405 50 60 -50 -40
3505 50 60 -60 -50
3605 50 60 -70 -60
3705 50 60 -80 -70
3805 50 60 -90 -80
1806 60 70 80 90
1706 60 70 70 80
1606 60 70 60 70
1506 60 70 50 60
1406 60 70 40 50
1306 60 70 30 40
1206 60 70 20 30
1106 60 70 10 20
1006 60 70 0 10
3006 60 70 -10 0
3106 60 70 -20 -10
3206 60 70 -30 -20
3306 60 70 -40 -30
3406 60 70 -50 -40
3506 60 70 -60 -50
3606 60 70 -70 -60
3706 60 70 -80 -70
3806 60 70 -90 -80
1807 70 80 80 90
1707 70 80 70 80
1607 70 80 60 70
1507 70 80 50 60
1407 70 80 40 50
1307 70 80 30 40
1207 70 80 20 30
1107 70 80 10 20
1007 70 80 0 10
3007 70 80 -10 0
3107 70 80 -20 -10
3207 70 80 -30 -20
3307 70 80 -40 -30
3407 70 80 -50 -40
3507 70 80 -60 -50
3607 70 80 -70 -60
3707 70 80 -80 -70
3807 70 80 -90 -80
1808 80 90 80 90
1708 80 90 70 80
1608 80 90 60 70
1508 80 90 50 60
1408 80 90 40 50
1308 80 90 30 40
1208 80 90 20 30
1108 80 90 10 20
1008 80 90 0 10
3008 80 90 -10 0
3108 80 90 -20 -10
3208 80 90 -30 -20
3308 80 90 -40 -30
3408 80 90 -50 -40
3508 80 90 -60 -50
3608 80 90 -70 -60
3708 80 90 -80 -70
3808 80 90 -90 -80
1809 90 100 80 90
1709 90 100 70 80
1609 90 100 60 70
1509 90 100 50 60
1409 90 100 40 50
1309 90 100 30 40
1209 90 100 20 30
1109 90 100 10 20
1009 90 100 0 10
3009 90 100 -10 0
3109 90 100 -20 -10
3209 90 100 -30 -20
3309 90 100 -40 -30
3409 90 100 -50 -40
3509 90 100 -60 -50
3609 90 100 -70 -60
3709 90 100 -80 -70
3809 90 100 -90 -80
1810 100 110 80 90
1710 100 110 70 80
1610 100 110 60 70
1510 100 110 50 60
1410 100 110 40 50
1310 100 110 30 40
1210 100 110 20 30
1110 100 110 10 20
1010 100 110 0 10
3010 100 110 -10 0
3110 100 110 -20 -10
3210 100 110 -30 -20
3310 100 110 -40 -30
3410 100 110 -50 -40
3510 100 110 -60 -50
3610 100 110 -70 -60
3710 100 110 -80 -70
3810 100 110 -90 -80
1811 110 120 80 90
1711 110 120 70 80
1611 110 120 60 70
1511 110 120 50 60
1411 110 120 40 50
1311 110 120 30 40
1211 110 120 20 30
1111 110 120 10 20
1011 110 120 0 10
3011 110 120 -10 0
3111 110 120 -20 -10
3211 110 120 -30 -20
3311 110 120 -40 -30
3411 110 120 -50 -40
3511 110 120 -60 -50
3611 110 120 -70 -60
3711 110 120 -80 -70
3811 110 120 -90 -80
1812 120 130 80 90
1712 120 130 70 80
1612 120 130 60 70
1512 120 130 50 60
1412 120 130 40 50
1312 120 130 30 40
1212 120 130 20 30
1112 120 130 10 20
1012 120 130 0 10
3012 120 130 -10 0
3112 120 130 -20 -10
3212 120 130 -30 -20
3312 120 130 -40 -30
3412 120 130 -50 -40
3512 120 130 -60 -50
3612 120 130 -70 -60
3712 120 130 -80 -70
3812 120 130 -90 -80
1813 130 140 80 90
1713 130 140 70 80
1613 130 140 60 70
1513 130 140 50 60
1413 130 140 40 50
1313 130 140 30 40
1213 130 140 20 30
1113 130 140 10 20
