# source lat long PCM_LABELS
"1901385_258.aoml_STEPHENRISER" -59.514 291.161 2.0
"1901385_259.aoml_STEPHENRISER" -58.863 292.321 2.0
"1901385_260.aoml_STEPHENRISER" -57.802 293.843 2.0
"1901385_261.aoml_STEPHENRISER" -57.381 297.961 2.0
"1901385_262.aoml_STEPHENRISER" -56.570 298.895 2.0
"1901413_286.aoml_STEPHENRISER," -56.874 290.800 2.0
"1901413_287.aoml_STEPHENRISER," -57.005 292.165 2.0
"1901413_288.aoml_STEPHENRISER," -56.698 292.961 2.0
"1901413_289.aoml_STEPHENRISER," -56.340 293.417 2.0
"1901413_290.aoml_STEPHENRISER," -56.231 294.369 2.0
"1901413_291.aoml_STEPHENRISER," -55.245 297.297 2.0
"1901413_292.aoml_STEPHENRISER," -56.625 297.881 2.0
"1901413_293.aoml_STEPHENRISER," -56.175 297.954 2.0
"1901413_294.aoml_STEPHENRISER," -56.976 297.128 2.0
"1901413_295.aoml_STEPHENRISER," -56.577 297.817 2.0
"1901413_296.aoml_STEPHENRISER," -56.120 295.936 2.0
"1901413_297.aoml_STEPHENRISER," -55.095 297.235 2.0
"1901415_183.aoml_STEPHENRISER" -58.436 291.859 2.0
"1901415_184.aoml_STEPHENRISER" -58.348 294.301 2.0
"1901415_185.aoml_STEPHENRISER" -57.899 297.330 2.0
"1901415_186.aoml_STEPHENRISER" -56.572 295.605 2.0
"1901415_187.aoml_STEPHENRISER" -55.210 298.925 2.0
"2900108_225.aoml_STEPHENRISER" -57.995 294.926 2.0
"2900108_226.aoml_STEPHENRISER" -57.531 296.504 2.0
"2900108_227.aoml_STEPHENRISER" -57.174 297.301 2.0
"2900108_228.aoml_STEPHENRISER" -56.042 296.540 2.0
"2900108_229.aoml_STEPHENRISER" -55.743 299.713 2.0
"2900108_230.aoml_STEPHENRISER" -57.451 297.951 2.0
"2900111_290.aoml_STEPHENRISER" -56.649 290.504 2.0
"2900111_291.aoml_STEPHENRISER" -57.623 291.992 2.0
"2900111_292.aoml_STEPHENRISER" -57.786 294.407 2.0
"2900111_293.aoml_STEPHENRISER" -57.047 295.882 2.0
"2900111_294.aoml_STEPHENRISER" -55.477 296.056 2.0
"2900112_188.aoml_STEPHENRISER" -57.325 294.448 2.0
"2900112_189.aoml_STEPHENRISER" -56.170 295.384 2.0
"2900112_190.aoml_STEPHENRISER" -56.518 297.700 2.0
"2900133_267.aoml_STEPHENRISER" -59.445 292.259 2.0
"2900133_268.aoml_STEPHENRISER" -58.409 293.831 2.0
"2900133_269.aoml_STEPHENRISER" -58.592 295.593 1.0
"2900133_270.aoml_STEPHENRISER" -58.449 298.320 1.0
"3900228_115.aoml_DEANROEMMICH" -57.218 290.682 2.0
"3900228_116.aoml_DEANROEMMICH" -57.507 291.727 2.0
"3900228_117.aoml_DEANROEMMICH" -57.857 293.694 2.0
"3900228_118.aoml_DEANROEMMICH" -57.465 295.519 2.0
"3900228_119.aoml_DEANROEMMICH" -55.627 295.231 2.0
"3900228_120.aoml_DEANROEMMICH" -56.121 299.971 2.0
"3900230_158.aoml_DEANROEMMICH" -57.378 290.795 2.0
